Id: 1, Make: makeTest1, Model: modelTest1, Year Of Manufacture: 1991, Color: colorTest1, Price: 5100.0, Registration Number: t1
Id: 2, Make: makeTest2, Model: modelTest2, Year Of Manufacture: 1992, Color: colorTest2, Price: 5200.0, Registration Number: t2
Id: 3, Make: makeTest3, Model: modelTest3, Year Of Manufacture: 1993, Color: colorTest3, Price: 5300.0, Registration Number: t3
Id: 4, Make: makeTest4, Model: modelTest4, Year Of Manufacture: 1994, Color: colorTest4, Price: 5400.0, Registration Number: t4
Id: 5, Make: makeTest5, Model: modelTest5, Year Of Manufacture: 1995, Color: colorTest5, Price: 5500.0, Registration Number: t5
Id: 6, Make: makeTest6, Model: modelTest6, Year Of Manufacture: 1996, Color: colorTest6, Price: 5600.0, Registration Number: t6
Id: 7, Make: makeTest7, Model: modelTest7, Year Of Manufacture: 1997, Color: colorTest7, Price: 5700.0, Registration Number: t7
Id: 8, Make: makeTest8, Model: modelTest8, Year Of Manufacture: 1998, Color: colorTest8, Price: 5800.0, Registration Number: t8
Id: 9, Make: makeTest9, Model: modelTest9, Year Of Manufacture: 1999, Color: colorTest9, Price: 5900.0, Registration Number: t9
Id: 10, Make: makeTest10, Model: modelTest10, Year Of Manufacture: 2000, Color: colorTest10, Price: 6000.0, Registration Number: t10
Id: 11, Make: makeTest11, Model: modelTest11, Year Of Manufacture: 2001, Color: colorTest11, Price: 6100.0, Registration Number: t11
Id: 12, Make: makeTest12, Model: modelTest12, Year Of Manufacture: 2002, Color: colorTest12, Price: 6200.0, Registration Number: t12
Id: 13, Make: makeTest13, Model: modelTest13, Year Of Manufacture: 2003, Color: colorTest13, Price: 6300.0, Registration Number: t13
Id: 14, Make: makeTest14, Model: modelTest14, Year Of Manufacture: 2004, Color: colorTest14, Price: 6400.0, Registration Number: t14
Id: 15, Make: makeTest15, Model: modelTest15, Year Of Manufacture: 2005, Color: colorTest15, Price: 6500.0, Registration Number: t15
Id: 16, Make: makeTest16, Model: modelTest16, Year Of Manufacture: 2006, Color: colorTest16, Price: 6600.0, Registration Number: t16
Id: 17, Make: makeTest17, Model: modelTest17, Year Of Manufacture: 2007, Color: colorTest17, Price: 6700.0, Registration Number: t17
Id: 18, Make: makeTest18, Model: modelTest18, Year Of Manufacture: 2008, Color: colorTest18, Price: 6800.0, Registration Number: t18
Id: 19, Make: makeTest19, Model: modelTest19, Year Of Manufacture: 2009, Color: colorTest19, Price: 6900.0, Registration Number: t19
Id: 20, Make: makeTest20, Model: modelTest20, Year Of Manufacture: 2010, Color: colorTest20, Price: 7000.0, Registration Number: t20
Id: 21, Make: makeTest21, Model: modelTest21, Year Of Manufacture: 2011, Color: colorTest21, Price: 7100.0, Registration Number: t21
Id: 22, Make: makeTest22, Model: modelTest22, Year Of Manufacture: 2012, Color: colorTest22, Price: 7200.0, Registration Number: t22
Id: 23, Make: makeTest23, Model: modelTest23, Year Of Manufacture: 2013, Color: colorTest23, Price: 7300.0, Registration Number: t23
Id: 24, Make: makeTest24, Model: modelTest24, Year Of Manufacture: 2014, Color: colorTest24, Price: 7400.0, Registration Number: t24
Id: 25, Make: makeTest25, Model: modelTest25, Year Of Manufacture: 2015, Color: colorTest25, Price: 7500.0, Registration Number: t25
Id: 26, Make: makeTest26, Model: modelTest26, Year Of Manufacture: 2016, Color: colorTest26, Price: 7600.0, Registration Number: t26
Id: 27, Make: makeTest27, Model: modelTest27, Year Of Manufacture: 2017, Color: colorTest27, Price: 7700.0, Registration Number: t27
Id: 28, Make: makeTest28, Model: modelTest28, Year Of Manufacture: 2018, Color: colorTest28, Price: 7800.0, Registration Number: t28
Id: 29, Make: makeTest29, Model: modelTest29, Year Of Manufacture: 2019, Color: colorTest29, Price: 7900.0, Registration Number: t29
Id: 30, Make: makeTest30, Model: modelTest30, Year Of Manufacture: 2020, Color: colorTest30, Price: 8000.0, Registration Number: t30
